model,outer_fold,pm,run_id,n_train,n_test,training_seconds,train_sample_hash_exact,test_sample_hash_exact,sample_ids_exact,y_true_exact,y_pred_mismatches,probabilities_exact,max_abs_probability_diff,mean_abs_probability_diff,q99_abs_probability_diff,status
xgboost,1,attention,fold_01__attention__low_high__b3ff10d8fa31,15241,4275,4.506290500052273,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,1,engagement,fold_01__engagement__low_high__c284173fb041,15934,4556,5.0859694999526255,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,1,excitement,fold_01__excitement__low_high__17e0284902f2,15941,4710,3.9096345999860205,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,1,stress,fold_01__stress__low_high__9b0756711fe9,15924,4905,4.016968699987046,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,1,relaxation,fold_01__relaxation__low_high__61e125142f4b,15947,4860,4.262657100043725,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,1,interest,fold_01__interest__low_high__6ac44cd38f8f,15927,4692,4.742266900022514,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,1,focus,fold_01__focus__low_high__a3ec652599bf,15934,4745,4.383198000025004,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,2,attention,fold_02__attention__low_high__729e0e78d3f0,15830,3758,4.318927699991036,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,2,engagement,fold_02__engagement__low_high__1a246c8b53f3,16404,3812,4.826319299987517,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,2,excitement,fold_02__excitement__low_high__149429db7a0a,16414,4099,4.760552200023085,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,2,stress,fold_02__stress__low_high__447d7b3e9774,16401,3382,5.6709143000189215,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,2,relaxation,fold_02__relaxation__low_high__8bbc62e51c4d,16429,3787,6.194303399999626,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,2,interest,fold_02__interest__low_high__5b27fb2025da,16405,3629,5.568735299981199,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,2,focus,fold_02__focus__low_high__7ff92501bf9c,16408,4177,6.00697330001276,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,3,attention,fold_03__attention__low_high__be7ca9941061,15726,4019,5.917214900022373,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,3,engagement,fold_03__engagement__low_high__b1e21aa6e0cc,16515,4210,6.293772000004537,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,3,excitement,fold_03__excitement__low_high__5f83f5edccbb,16517,3925,5.217574500013143,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,3,stress,fold_03__stress__low_high__dd0a17f37022,16507,4794,5.640436100016814,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,3,relaxation,fold_03__relaxation__low_high__c323ce186523,16534,3918,5.610828899953049,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,3,interest,fold_03__interest__low_high__ac54d051ee31,16506,4428,5.702431900019292,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,3,focus,fold_03__focus__low_high__d1315fa195d2,16512,4090,5.922172499995213,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,4,attention,fold_04__attention__low_high__58ce4e993fc6,15937,3789,5.829198799969163,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,4,engagement,fold_04__engagement__low_high__03e3ab8cf11d,16687,3677,5.870335400046315,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,4,excitement,fold_04__excitement__low_high__be7db9d4639d,16689,3904,5.458901599980891,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,4,stress,fold_04__stress__low_high__45623d5445e0,16679,2955,5.651972099964041,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,4,relaxation,fold_04__relaxation__low_high__ca6e86af0721,16707,3771,5.546918099978939,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,4,interest,fold_04__interest__low_high__661c20e0b865,16683,3971,5.851054599974304,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,4,focus,fold_04__focus__low_high__3d8d3010f9bf,16688,3731,5.71421599999303,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,5,attention,fold_05__attention__low_high__84b4aec3b96a,15812,3818,5.766272499982733,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,5,engagement,fold_05__engagement__low_high__b8ce4e308625,16528,4267,6.166119900008198,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,5,excitement,fold_05__excitement__low_high__46fddcfc7f47,16537,3930,5.505369000020437,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,5,stress,fold_05__stress__low_high__51933d713d98,16523,4380,5.615291900001466,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,5,relaxation,fold_05__relaxation__low_high__7679f10142da,16548,4217,5.8587850999902,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,5,interest,fold_05__interest__low_high__87bf91e2b80c,16528,3791,5.925962199980859,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
xgboost,5,focus,fold_05__focus__low_high__4ea6190f2fb1,16541,3778,5.866507900005672,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,1,attention,lightgbm__fold_01__attention__low_high__0d43acce7736,15241,4275,2.3993487999541685,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,1,engagement,lightgbm__fold_01__engagement__low_high__6a4ee0388e74,15934,4556,2.3693133000051603,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,1,excitement,lightgbm__fold_01__excitement__low_high__1c9a2a804f18,15941,4710,2.379080699989572,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,1,stress,lightgbm__fold_01__stress__low_high__699531a3dcc8,15924,4905,2.3495412999764085,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,1,relaxation,lightgbm__fold_01__relaxation__low_high__a34e674f3c44,15947,4860,2.3922156000044197,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,1,interest,lightgbm__fold_01__interest__low_high__892da210fe96,15927,4692,2.3171033000107855,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,1,focus,lightgbm__fold_01__focus__low_high__dcdf00afc3fd,15934,4745,2.3257634999463335,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,2,attention,lightgbm__fold_02__attention__low_high__69a4e4fe1de1,15830,3758,2.376595499983523,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,2,engagement,lightgbm__fold_02__engagement__low_high__24e19db4d692,16404,3812,2.4101739000179805,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,2,excitement,lightgbm__fold_02__excitement__low_high__23f789f45b5a,16414,4099,2.364496900001541,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,2,stress,lightgbm__fold_02__stress__low_high__804bb4b10fc3,16401,3382,2.3392618999932893,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,2,relaxation,lightgbm__fold_02__relaxation__low_high__a3d5126aac22,16429,3787,2.3980355999665335,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,2,interest,lightgbm__fold_02__interest__low_high__fb212554d437,16405,3629,2.337689500011038,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,2,focus,lightgbm__fold_02__focus__low_high__22cb4cf23f9c,16408,4177,2.318986800033599,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,3,attention,lightgbm__fold_03__attention__low_high__5f60a4917664,15726,4019,2.375468100013677,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
lightgbm,3,engagement,lightgbm__fold_03__engagement__low_high__53748ec5937e,16515,4210,2.40830339997774,True,True,True,True,0,True,0.0,0.0,0.0,EXACT
