status,result_status,protocol_hash,specification_hash,run_id,model,input_family,outer_fold,pm,target_id,lag_seconds,context_windows,earliest_context_offset_seconds,threshold_hash,q_low,q_high,n_train,n_test,n_test_participants,training_time_seconds,validation_strategy,inner_group_overlap,outer_test_group_overlap,n_epochs_trained,best_epoch,participant_macro_balanced_accuracy,participant_valid_balanced_accuracy,participant_macro_f1,participant_valid_f1,participant_macro_roc_auc,participant_valid_roc_auc,participant_macro_pr_auc,participant_valid_pr_auc,participant_macro_low_recall,participant_valid_low_recall,participant_macro_high_recall,participant_valid_high_recall,participant_macro_precision,participant_valid_precision,participant_macro_accuracy,participant_valid_accuracy
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,464a5d6bf940691e130b7f480f2ca382a08399482f39f213459746a0116ebc01,torch_lstm__fold_01__attention__464a5d6bf940,torch_lstm,sequence_features,1,attention,target_attention,-10,10,-100,40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7,0.40640833333333337,0.5057536666666667,14829,4124,11,4.148289500008104,group_record,0,0,3,1,0.6362947523322231,11,0.5573137992971171,11,0.7525598693352769,11,0.7898111820233426,11,0.6567265417390029,11,0.6158629629254431,11,0.6877445324581758,11,0.6003820904231382,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,ab4362406a96dc0482b178c0ba411986d8f5c87912522068d3e5e61c96d4d638,torch_lstm__fold_01__engagement__ab4362406a96,torch_lstm,sequence_features,1,engagement,target_engagement,-10,10,-100,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,0.5800476666666666,0.6855443333333333,15238,4313,11,3.545842799998354,group_record,0,0,3,1,0.6711123426899349,11,0.6570248955352588,11,0.8060692036753953,11,0.8115427795482691,11,0.5539819664364537,11,0.7882427189434164,11,0.7453325053174441,11,0.727823882645747,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,8008435068c19dce5a336309b8429b6c8f27c59ff2eabd772952a71e6c5c6471,torch_lstm__fold_01__excitement__8008435068c1,torch_lstm,sequence_features,1,excitement,target_excitement,-10,10,-100,f13db677a8358b59d7e0528258ba7ff9bf95b5314741ce39a724cf74d183ddaa,0.198928,0.3627136666666666,15414,4489,11,3.9028970999934245,group_record,0,0,5,4,0.8206193654926222,11,0.7649012207068872,11,0.9429174732012977,11,0.9284573945109518,11,0.7364369511907153,11,0.9048017797945292,11,0.7971601752470878,11,0.7955974369200504,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,47247b54b250a9e6d5640f1286290e01e825a42899621cce83595ea9dba4731f,torch_lstm__fold_01__focus__47247b54b250,torch_lstm,sequence_features,1,focus,target_focus,-10,10,-100,7d71bb99b3a559d0df0aa3bf8b195bafc98a0dd046a82039a430a2fa4892b0d0,0.368801,0.4654386666666666,15320,4526,11,3.2585529999923892,group_record,0,0,3,1,0.7784503403036137,11,0.6951551014740972,11,0.8890153217591797,11,0.8307780526166693,11,0.7576237928873741,11,0.7992768877198535,11,0.7236362062775151,11,0.7654849454860265,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,e9d7142617a4fd7cff9ee4b4819c90fbef46834706dba4a998b46ac8b2f4055f,torch_lstm__fold_01__interest__e9d7142617a4,torch_lstm,sequence_features,1,interest,target_interest,-10,10,-100,bd39db4c19d9f742cb059d0566f550cf160821412eeb67d3cc0780042dbd7317,0.480751,0.5305233333333333,15281,4458,11,3.7777536000066902,group_record,0,0,4,2,0.631091934356328,11,0.5765736003262504,11,0.7558878844511351,11,0.7346335043467765,11,0.5343361789812415,11,0.7278476897314146,11,0.6665797009248482,11,0.599597739770688,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,2ad3e56ea9ff7df8437da9ac99c6c132351a873a59f9134606d8b951c26610e0,torch_lstm__fold_01__relaxation__2ad3e56ea9ff,torch_lstm,sequence_features,1,relaxation,target_relaxation,-10,10,-100,38b0c29f91cf04074516bcbbf6cf6e9362b22718f7ac54fdbe5adf6de43d5d14,0.25662399999999996,0.39230799999999993,15503,4644,11,3.5245463000028394,group_record,0,0,3,1,0.7373806593253651,11,0.7122963335008861,11,0.8998682309314165,11,0.9074133424363517,11,0.659489648528285,11,0.8152716701224453,11,0.7726035524378275,11,0.7797141566307338,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,8c22cfcc55d033ea4c789a98f745e0377c06b573f65b085e92b0308a4634183e,torch_lstm__fold_01__stress__8c22cfcc55d0,torch_lstm,sequence_features,1,stress,target_stress,-10,10,-100,bc3be14a13e7a39ebeab010389e1c408e3b117b37aecad2317d7955676362ffa,0.4029856666666667,0.461275,15261,4670,11,3.2803340000100434,group_record,0,0,3,1,0.7058667594366898,11,0.6630930985621449,11,0.8602129864373927,11,0.8399418525657564,11,0.6913831019176846,11,0.7203504169556948,11,0.7190769201792908,11,0.7006086547377578,11
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,220edab733bad934cffa58475cd5d414d59405a72af34e465237e6c9d525bc8d,torch_lstm__fold_02__attention__220edab733ba,torch_lstm,sequence_features,2,attention,target_attention,-10,10,-100,05b80bfaecd22890a7e360375d08013c2763762bc191dded6a0bbd75f29be07f,0.409755,0.5089703333333333,15360,3654,10,3.689579500001855,group_record,0,0,5,3,0.7094198840400658,10,0.6831250497037928,10,0.8415762936412943,10,0.8143189997657133,10,0.6644029346421886,10,0.754436833437943,10,0.755784598384004,10,0.7306151397380847,10
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,44db12fb6daf8ed1188c08123ec9f6d57f28b8046be18d755140768d95d73f55,torch_lstm__fold_02__engagement__44db12fb6daf,torch_lstm,sequence_features,2,engagement,target_engagement,-10,10,-100,96921223f37aee74e8576505e04d8d93656b6d22365a8c1e79d1aadc606e3780,0.572122,0.682083,15620,3657,10,3.3883993000199553,group_record,0,0,3,1,0.6758317218530021,10,0.6625936988573189,10,0.803281624206537,10,0.8773368520047319,10,0.6236014581108732,10,0.7280619855951311,10,0.7246438400023131,10,0.7246380076580375,10
complete,confirmatory_screening,e902f4dbe8f317be4ac6ed5061104cf5a3399eea5125414a675add88f4105a8d,3615fa45a5ca3dfdd835ce5cd99a9cf505b8c27fd4c4ef854b9aacc4c38d9933,torch_lstm__fold_02__excitement__3615fa45a5ca,torch_lstm,sequence_features,2,excitement,target_excitement,-10,10,-100,8cf290447cc76b4db2bf7811a784e38768237f66e910c108ea9bd99fce1b2673,0.194812,0.357134,15790,3976,10,3.4362528000201564,group_record,0,0,3,1,0.8732037089054503,10,0.84414269473495,10,0.9562851676365245,10,0.9671679153388849,10,0.8765377528762979,10,0.8698696649346023,10,0.8459113780702967,10,0.8716975165801202,10
