area,limitation,mitigation
data access,Raw proprietary Emotiv recordings are not stored in Git.,"Tracked loaders, hashes, manifests and dataset statistics."
runtime artifacts,"Predictions, checkpoints and caches are intentionally ignored by Git.",Relative artifact paths and checksums are recorded in reports/manifests.
hardware,Torch runtimes were produced on an NVIDIA RTX 5060 Ti; exact timing is hardware-dependent.,Device and training time are saved; CPU unit tests cover contracts.
software environment,Exact CUDA/kernel determinism can vary across library and driver versions.,"Seeds, library requirements, configs and checkpoints are retained."
label definition,Canonical label_q5 uses global quantile thresholds computed before subject splitting.,Cross-fitted label sensitivity analysis shows 2.6816% changed windows.
external transfer,Transfer screening uses one protected downstream fold.,Result is explicitly diagnostic and the track is closed rather than generalized.
COG-BCI preprocessing history,Upstream EEGLAB processing history is incompletely known.,Metadata records unknown history and requires explicit opt-in for additional filters.
PM temporal alignment,The fixed -10 s previous-window advantage does not identify a physiological delay or the proprietary Emotiv aggregation/timestamp mechanism.,"Treat EEG(t-10s)->PM(t) only as a dataset-level alignment contract; algorithmic latency, internal history and timestamp semantics remain hypotheses."
PM lag regression R2,Participant-level R2 is heterogeneous and unstable for very small or near-constant target series; participant 9192c107 has only two relevant windows for some PM and produces extreme negative values.,"Prioritize participant-macro MAE and Pearson; report paired median R2 and favorable counts without zeroing NaN, dropping participants post hoc or using pooled arithmetic mean R2."
formal specification,No authoritative tracked legal/acceptance specification was found.,Requirement map distinguishes project-plan evidence from formal acceptance.
