requirement_id,requirement,category,status,evidence,implementation,experiment,report,remaining_gap,recommended_closure_form
R-DATA,Данные и унификация источников,"('scientific',)",partially_closed,bench/datasets/emotiv_loader.py|reports/logical_recording_audit.md,complete,,reports/logical_recording_audit.md,"Нет единого актуального data-card, включающего собственные и внешние треки.|Внешние datasets не имеют сопоставимого полного experiment contract.",Подготовить единый data-card и явно зафиксировать scope внешних наборов.
R-DATA-01,Унификация gpn_data и Old_EEG,"('scientific',)",closed,bench/datasets/emotiv_loader.py|bench/datasets/logical_recordings.py|tests/test_cross_source_split.py|reports/cross_source_data_audit.md,complete,,reports/cross_source_data_audit.md,,Поддерживать data provenance при следующих изменениях набора.
R-DATA-02,Внешний WESAD benchmark,"('scientific',)",not_required_for_article,bench/datasets/wesad_loader.py|bench/tasks/wesad_task.py|reports/integration/wesad_metrics_review.md|,complete,,reports/integration/wesad_metrics_review.md,Нет текущего канонического WESAD experiment config и записи experiment registry.|Исторические WESAD scripts не являются текущим integrated pipeline.,"Уточнить, обязателен ли WESAD deliverable; при положительном решении интегрировать один ограниченный baseline через текущий runner.
"
R-DATA-03,STEW и другие открытые EEG-наборы,"('scientific',)",not_required_for_article,,missing,,,"Нет loader, task, config или current result для STEW.|Не найден официальный признак обязательности.",Зафиксировать включение или исключение STEW в утверждённом scope.
R-PREP,Предобработка и контроль качества EEG,"('scientific',)",partially_closed,bench/datasets/raw_preprocessing.py|shallowconvnet_preprocessing_ablation|reports/preprocessing_selected_trials_multiseed.md,complete,shallowconvnet_preprocessing_ablation,reports/preprocessing_selected_trials_multiseed.md,Не все упоминаемые artifact-removal методы интегрированы в canonical pipeline.,"Зафиксировать обязательный минимальный preprocessing scope и отдельно решить необходимость artifact removal.
"
R-PREP-01,"Band-pass, notch, CAR и deduplication","('scientific',)",partially_closed,experiments/preprocessing_ablation_shallowconvnet.yaml|tests/test_raw_preprocessing_registry.py|shallowconvnet_preprocessing_ablation|reports/preprocessing_factorial_ablation.md,complete,shallowconvnet_preprocessing_ablation,reports/preprocessing_factorial_ablation.md,Полный A-H factorial выполнен только для seed 42.|Diagnostic experiment не устанавливает универсально лучший preprocessing.,"Зафиксировать raw как текущий reference и границы обобщения ablation; не запускать полный повтор без отдельной гипотезы.
"
R-PREP-02,"Artifact removal, ICA и FASTER","('scientific',)",partially_closed,bench/preprocessing/artifacts.py|bench/preprocessing/preprocessing_pipeline.py,partial,,,"ICA отсутствует.|FASTER prototype не является полноценной реализацией алгоритма и не подключён к runner.|Нет leakage tests, config provenance или experiment result.","Сначала решить, входит ли artifact removal в обязательный scope; не интегрировать prototype без методической спецификации.
"
R-FEAT,Представления и признаки,"('scientific',)",partially_closed,reports/windowed_eeg_features_w10_report.md|reports/feature_group_transformer_ablation.md,complete,,reports/windowed_eeg_features_w10_report.md|reports/feature_group_transformer_ablation.md,Нет единого feature dictionary с происхождением всех 448 колонок.,"Создать feature dictionary с группой, формулой и provenance."
R-FEAT-01,"EEG, POW, raw и sequence representations","('scientific',)",closed,bench/datasets/base_eeg_data_loader.py|cogstate/model_zoo/DL/sequence_utils.py|tests/test_sequence_utils.py|label_q5_transformer_multiseed|label_q5_shallowconvnet_raw_dedup_multiseed,complete,label_q5_transformer_multiseed|label_q5_shallowconvnet_raw_dedup_multiseed,,,Поддерживать representation contracts в архитектурной документации.
R-FEAT-02,"Энтропия, связность и снижение размерности","('scientific',)",partially_closed,bench/preprocessing/features.py,partial,,,Энтропийные признаки отсутствуют.|Connectivity prototype не встроен в canonical feature dataset.|PCA и feature selection не имеют train-only integrated path.,Уточнить обязательные advanced feature families до реализации.
