status,result_status,protocol_hash,specification_hash,run_id,execution_source,model,outer_fold,pm,lag_seconds,context_windows,threshold_hash,q_low,q_high,n_train,n_test,n_test_participants,training_time_seconds,validation_strategy,inner_group_overlap,outer_test_group_overlap,n_epochs_trained,best_epoch,participant_macro_balanced_accuracy,participant_valid_balanced_accuracy,participant_macro_f1,participant_valid_f1,participant_macro_roc_auc,participant_valid_roc_auc,participant_macro_pr_auc,participant_valid_pr_auc,participant_macro_low_recall,participant_valid_low_recall,participant_macro_high_recall,participant_valid_high_recall,participant_macro_precision,participant_valid_precision,participant_macro_accuracy,participant_valid_accuracy,earliest_context_offset_seconds,input_family,target_id,reference_run_id
complete,matched_confirmatory,e09f28dab2b37321dd665cc55653cfc08a5a29afc38927ee26bc2d2c6cc988e7,510c0ff0bd824c70107773e725d13e6e75bc1e166f4e0512702765bd53106704,lightgbm__fold_01__attention__510c0ff0bd82,new_training,lightgbm,1,attention,-10,1,40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7,0.40640833333333337,0.5057536666666667,14829,4124,11,1.780895599978976,estimator_native_no_validation,0,0,0,,0.723052900054159,11,0.6795870106015129,11,0.8650930114283081,11,0.8771710093064986,11,0.698595916896602,11,0.7475098832117159,11,0.7529883264876248,11,0.6970862525092713,11,,,,
complete,matched_confirmatory,e09f28dab2b37321dd665cc55653cfc08a5a29afc38927ee26bc2d2c6cc988e7,49665382ddd6d4d4a51715f0111e0ab1231a0a32d9b507c370fc29a228b25558,lightgbm__fold_01__engagement__49665382ddd6,new_training,lightgbm,1,engagement,-10,1,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,0.5800476666666666,0.6855443333333333,15238,4313,11,2.4237630999996327,estimator_native_no_validation,0,0,0,,0.73139819408559,11,0.7279775044492869,11,0.8552782942469281,11,0.8445127306728278,11,0.7730818106962065,11,0.6897145774749736,11,0.7840303512999328,11,0.7675215745286897,11,,,,
complete,matched_confirmatory,e09f28dab2b37321dd665cc55653cfc08a5a29afc38927ee26bc2d2c6cc988e7,2d4512a15d514511a8e89ee3a21e9c24b20ce401e8ab06a14101028e52993c51,lightgbm__fold_01__excitement__2d4512a15d51,new_training,lightgbm,1,excitement,-10,1,f13db677a8358b59d7e0528258ba7ff9bf95b5314741ce39a724cf74d183ddaa,0.198928,0.3627136666666666,15414,4489,11,2.3357276000024285,estimator_native_no_validation,0,0,0,,0.8434101355322525,11,0.801161790692499,11,0.9544553030835933,11,0.9315630658289696,11,0.7711715123369598,11,0.9156487587275453,11,0.8193443435460747,11,0.8329270954566258,11,,,,
complete,matched_confirmatory,e09f28dab2b37321dd665cc55653cfc08a5a29afc38927ee26bc2d2c6cc988e7,200d69292d5504d180b2cf0c355ad524690ef8e0795abe79cc97dc245fd7ede7,lightgbm__fold_01__focus__200d69292d55,new_training,lightgbm,1,focus,-10,1,7d71bb99b3a559d0df0aa3bf8b195bafc98a0dd046a82039a430a2fa4892b0d0,0.368801,0.4654386666666666,15320,4526,11,2.2823067999852356,estimator_native_no_validation,0,0,0,,0.7163245858111472,11,0.6343061592705864,11,0.8180671582373573,11,0.7614149840328289,11,0.673629987163362,11,0.7590191844589323,11,0.6802031923802404,11,0.6971049018023008,11,,,,
complete,matched_confirmatory,e09f28dab2b37321dd665cc55653cfc08a5a29afc38927ee26bc2d2c6cc988e7,4f9c410d0213f74a98804b9a59fa726a0ac810f55074afdb2979756ad088b149,lightgbm__fold_01__interest__4f9c410d0213,new_training,lightgbm,1,interest,-10,1,bd39db4c19d9f742cb059d0566f550cf160821412eeb67d3cc0780042dbd7317,0.480751,0.5305233333333333,15281,4458,11,2.290566800016677,estimator_native_no_validation,0,0,0,,0.6586817872290525,11,0.6245960796689739,11,0.7959506761650575,11,0.7810588421154869,11,0.6914591390727957,11,0.6259044353853092,11,0.7252277312152576,11,0.6530001571426424,11,,,,
complete,matched_confirmatory,e09f28dab2b37321dd665cc55653cfc08a5a29afc38927ee26bc2d2c6cc988e7,7ba60440d8f953962b1c7775ca04c620a869992a5c2ea42a64dd3c549e1c9364,lightgbm__fold_01__relaxation__7ba60440d8f9,new_training,lightgbm,1,relaxation,-10,1,38b0c29f91cf04074516bcbbf6cf6e9362b22718f7ac54fdbe5adf6de43d5d14,0.25662399999999996,0.39230799999999993,15503,4644,11,2.365651699976297,estimator_native_no_validation,0,0,0,,0.7352439901391216,11,0.7133007491915581,11,0.907830970559207,11,0.9147997990331206,11,0.641086198329558,11,0.8294017819486851,11,0.8420647489943541,11,0.7806764689023555,11,,,,
complete,matched_confirmatory,e09f28dab2b37321dd665cc55653cfc08a5a29afc38927ee26bc2d2c6cc988e7,f44a9fadc88ad859973fce7f0ced041a52daeca03baa71f82f8414dfce9ffd77,lightgbm__fold_01__stress__f44a9fadc88a,new_training,lightgbm,1,stress,-10,1,bc3be14a13e7a39ebeab010389e1c408e3b117b37aecad2317d7955676362ffa,0.4029856666666667,0.461275,15261,4670,11,2.2884703000017907,estimator_native_no_validation,0,0,0,,0.6958116978374984,11,0.6541139323315014,11,0.8439781011639631,11,0.8283783381213474,11,0.6773497750427347,11,0.7142736206322622,11,0.7382604842687202,11,0.6873072831195342,11,,,,
complete,matched_confirmatory,e09f28dab2b37321dd665cc55653cfc08a5a29afc38927ee26bc2d2c6cc988e7,638063edde180a0c7d1be2664c0ddb3751131d4ffa99dcad32fbada5fed5e96b,lightgbm__fold_02__attention__638063edde18,new_training,lightgbm,2,attention,-10,1,05b80bfaecd22890a7e360375d08013c2763762bc191dded6a0bbd75f29be07f,0.409755,0.5089703333333333,15360,3654,10,2.384654599998612,estimator_native_no_validation,0,0,0,,0.7114829248487446,10,0.6771622949347823,10,0.8650612202801845,10,0.8568138171549726,10,0.6366025630730077,10,0.7863632866244816,10,0.7885677252426146,10,0.7266254390200878,10,,,,
complete,matched_confirmatory,e09f28dab2b37321dd665cc55653cfc08a5a29afc38927ee26bc2d2c6cc988e7,493edc5e1ccef4eba23cbaa995880cae06109f8b0860da0be835e65e11b8a307,lightgbm__fold_02__engagement__493edc5e1cce,new_training,lightgbm,2,engagement,-10,1,96921223f37aee74e8576505e04d8d93656b6d22365a8c1e79d1aadc606e3780,0.572122,0.682083,15620,3657,10,2.3429823000042234,estimator_native_no_validation,0,0,0,,0.7412388258594752,10,0.7393978224899721,10,0.8808082059784784,10,0.9242859414312303,10,0.6858220227679912,10,0.7966556289509593,10,0.7909659291974775,10,0.7943712181726138,10,,,,
complete,matched_confirmatory,e09f28dab2b37321dd665cc55653cfc08a5a29afc38927ee26bc2d2c6cc988e7,487bdaa4feabc1b74927a9b4f8f7baab661658e5802ca7d7b1719e56b7a33a6f,lightgbm__fold_02__excitement__487bdaa4feab,new_training,lightgbm,2,excitement,-10,1,8cf290447cc76b4db2bf7811a784e38768237f66e910c108ea9bd99fce1b2673,0.194812,0.357134,15790,3976,10,2.263636799994856,estimator_native_no_validation,0,0,0,,0.8690812254351308,10,0.8366750337987622,10,0.9561079062709699,10,0.9519600648034802,10,0.8613900130725162,10,0.8767724377977455,10,0.8396844238623344,10,0.8673176544205227,10,,,,
