target_id,processed_column,target_family,target_type,native_or_derived,aggregation,sources,n_windows,n_subjects,n_source_records,n_logical_records,missing_rate,minimum,maximum,unique_values,status
target_attention,target_attention,continuous_pm,continuous_regression,derived window aggregate of a native device metric,mean(PM.Attention.Scaled) within 10-second window,Old_EEG|gpn_data,43175,53,117,85,0.158513292274,0.028539,0.925407,28088,canonical
target_engagement,target_engagement,continuous_pm,continuous_regression,derived window aggregate of a native device metric,mean(PM.Engagement.Scaled) within 10-second window,Old_EEG|gpn_data,48254,54,119,86,0.059522881422,0.053498,0.946502,30773,canonical
target_excitement,target_excitement,continuous_pm,continuous_regression,derived window aggregate of a native device metric,mean(PM.Excitement.Scaled) within 10-second window,Old_EEG|gpn_data,50983,54,119,86,0.00633429484681,2.4e-05,1,32843,canonical
target_stress,target_stress,continuous_pm,continuous_regression,derived window aggregate of a native device metric,mean(PM.Stress.Scaled) within 10-second window,Old_EEG|gpn_data,45384,54,119,86,0.115459577454,0.054506,0.999447,29018,canonical
target_relaxation,target_relaxation,continuous_pm,continuous_regression,derived window aggregate of a native device metric,mean(PM.Relaxation.Scaled) within 10-second window,Old_EEG|gpn_data,45394,54,119,86,0.115264676074,0.075858,0.697059,27875,canonical
target_interest,target_interest,continuous_pm,continuous_regression,derived window aggregate of a native device metric,mean(PM.Interest.Scaled) within 10-second window,Old_EEG|gpn_data,45440,54,119,86,0.114368129726,0.134833,0.996604,28631,canonical
target_focus,target_focus,continuous_pm,continuous_regression,derived window aggregate of a native device metric,mean(PM.Focus.Scaled) within 10-second window,Old_EEG|gpn_data,45384,54,119,86,0.115459577454,0.004077,0.991193,29360,canonical
activity_attention,PM.Attention.IsActive__mean,device_activity_proxy,native_activity_fraction_candidate,native device flag normalized then window-aggregated,mean(normalized PM.Attention.IsActive) within 10-second window,Old_EEG|gpn_data,51124,55,120,86,0.00358618539019,0,1,2,requires_semantic_validation
activity_engagement,PM.Engagement.IsActive__mean,device_activity_proxy,native_activity_fraction_candidate,native device flag normalized then window-aggregated,mean(normalized PM.Engagement.IsActive) within 10-second window,Old_EEG|gpn_data,51124,55,120,86,0.00358618539019,0,1,2,requires_semantic_validation
activity_excitement,PM.Excitement.IsActive__mean,device_activity_proxy,native_activity_fraction_candidate,native device flag normalized then window-aggregated,mean(normalized PM.Excitement.IsActive) within 10-second window,Old_EEG|gpn_data,51124,55,120,86,0.00358618539019,0,1,2,requires_semantic_validation
activity_stress,PM.Stress.IsActive__mean,device_activity_proxy,native_activity_fraction_candidate,native device flag normalized then window-aggregated,mean(normalized PM.Stress.IsActive) within 10-second window,Old_EEG|gpn_data,51124,55,120,86,0.00358618539019,0,1,2,requires_semantic_validation
