experiment_id,task_id,method,dataset,data_mode,folds,seeds,analysis_level,status,primary_metric,primary_result,decision,limitations,protocol_hash,preregistration_hash,result_artifact
fomaml_production_buffer_contract_v1,8F,EEGNet|ShallowConvNet,gpn_data + Old_EEG,raw_eeg_contract,,42,infrastructure,production contract ready,buffer_policy_audit,frozen_global and support_local policies validated.,Production contract ready; policy cannot be selected from outer test.,No real EEG model was trained in this stage.,a3e6ff5ee2dbfa1638ffee9180ddff582dbab8aa6186e164320dd92f082871e8,not_applicable,benchmark_results/meta_learning_fomaml_production_contract
meta_learning_episode_infrastructure_v1,8T,episodic_contract,gpn_data + Old_EEG | COG-BCI,identity_manifests_only,1,42,infrastructure,infrastructure complete,leakage_audit,15 leakage-safe episodes; zero forbidden overlap,Infrastructure complete; no meta-learning quality claim.,No meta-learning algorithm or model training was performed.,3ff1645dd413fab8c5a1d5d7cab8b1ba75e6c1ea1358997a0dd24fe36e9aa88d,not_applicable,benchmark_results/meta_learning_infrastructure
fomaml_synthetic_contract_v1,8U,synthetic_fomaml,synthetic contract / not applicable,synthetic_2d,,42,infrastructure,infrastructure only,deterministic_contract,Deterministic first-order synthetic smoke; not EEG evidence.,Infrastructure only; do not interpret as EEG model quality.,Synthetic CPU task only; no real EEG training.,d6e29b39e45362a60bce6c6fec799ad6363d3525cf6bf1a3e7fd2388dd80faf0,02ddaf37fb7b357886154f05f0e69609ab302535702205ea914f5cca44821a9b,benchmark_results/meta_learning_fomaml_synthetic
fomaml_label_q5_feature_protocol_blocked_v1,8X,EEGNet,gpn_data + Old_EEG,feature_episode_ids_vs_raw_eeg,1,42,protocol,blocked,protocol_compatibility,blocked_protocol_raw_sample_mismatch,Blocked before training; replace with raw-deduplicated episode protocol.,Feature-level episode IDs cannot address the raw sample universe.,a3e6ff5ee2dbfa1638ffee9180ddff582dbab8aa6186e164320dd92f082871e8,54f21e907ff1a414d45c1594e422c4caede0a449ca9acf02374bb50502122754,benchmark_results/meta_learning_fomaml_label_q5_diagnostic
fomaml_label_q5_raw_protocol_v2,8Ц,EEGNet,gpn_data + Old_EEG,raw_eeg_deduplicated,1,42,protocol,raw protocol ready,readiness_audit,raw_protocol_ready,Protocol ready for the separately authorized diagnostic only.,One outer fold and one model seed were preregistered.,e73703a443aea3b34f62606efa76bd592ff70099a30cdca80d292f1d76a1fd60,dc998ca72142678394e6f85e10d4b89b1fd0205a6a87be5cae2ba26c37c98692,benchmark_results/meta_learning_fomaml_label_q5_raw_protocol
fomaml_label_q5_raw_deduplicated_diagnostic_v1,8Ч,EEGNet_FOMAML,gpn_data + Old_EEG,raw_eeg_deduplicated,1,42,diagnostic,do not proceed,participant_macro_f1_delta_vs_supervised_full_model,-0.04633751912262721,do_not_proceed,One fold|one seed|five participants|EEGNet only.,e73703a443aea3b34f62606efa76bd592ff70099a30cdca80d292f1d76a1fd60,07c57c2f957125e603fa2afaad2078dc0a206f3697f7f01926dcae55133a18e3,benchmark_results/meta_learning_fomaml_label_q5_raw_diagnostic
dann_label_q5_raw_protocol_v1,8Ш,EEGNet_DANN,gpn_data + Old_EEG,raw_eeg_deduplicated,1,42,protocol,protocol ready,readiness_audit,dann_protocol_ready,Protocol ready for diagnostic execution only.,Source and target are provenance domains|not established device domains.,7f5642109e1ed26dd6de96aa88fe0711bfa08e8f3a58422b17364301d693f7c5,bd7b25e2b3057d2174001fcc105d19705e1b6a22c1cae057cde3feb399a472ca,benchmark_results/domain_adaptation_dann_raw_protocol
dann_label_q5_old_eeg_to_gpn_diagnostic_v1,8Щ,EEGNet_DANN,gpn_data + Old_EEG,raw_eeg_deduplicated,1,42,diagnostic,diagnostic proceed,participant_macro_f1_delta,0.013364455418166173,proceed to preregistered confirmation; no significance claim.,One fold|one seed|eight target participants.,7f5642109e1ed26dd6de96aa88fe0711bfa08e8f3a58422b17364301d693f7c5,f5e7cd962cc361b36e74b073c8532e2af5f4a94a36831f21531d6db36b54a817,benchmark_results/domain_adaptation_dann_raw_diagnostic
dann_label_q5_confirmatory_v1_protocol,8Э,EEGNet_DANN,gpn_data + Old_EEG,raw_eeg_deduplicated,1|2|3|4|5,42|123|2026,protocol,protocol ready,readiness_audit,confirmatory_protocol_ready,Superseded analytically by v2 separation of discovery and confirmation.,Seed 42 discovery evidence required explicit separation.,a261d6081b4924af82752021fa24bbd50a75ed83ac3672db1e691709ad2cad71,f4862dbf09d6eccd04438eebd5bbd99899dc4f1530ba3554c87a45a13dba59c4,benchmark_results/domain_adaptation_dann_confirmatory_protocol
dann_label_q5_confirmatory_v2_protocol,8Ю,EEGNet_DANN,gpn_data + Old_EEG,raw_eeg_deduplicated,1|2|3|4|5,42|123|2026,protocol,protocol ready,readiness_audit,confirmatory_v2_protocol_ready,Primary and sensitivity evidence are immutable and separate.,Disabled protocol; no result in this stage.,1ce582a3d73a7ae4393e77cc2f3b2cb7749ddbb30c1cb8fcad0056c6d326c368,6fba1eb76133884f0d5984ec1ceedc49234f252846040122310ac45a99ad3d7e,benchmark_results/domain_adaptation_dann_confirmatory_v2_protocol
