model,outer_fold,subject_id,pm,target_id,adaptation_eligible,adaptation_applied,run_id,specification_hash,probability_source,classification_policy,candidate_classification_threshold,frozen_median_threshold,evaluation_low,evaluation_high,evaluation_extreme,evaluation_sample_hash,zero_shot_roc_auc,personalized_roc_auc,delta_roc_auc,zero_shot_pr_auc,personalized_pr_auc,delta_pr_auc,zero_shot_brier,personalized_brier,brier_improvement,zero_shot_log_loss,personalized_log_loss,log_loss_improvement,frozen_median_balanced_accuracy,personalized_balanced_accuracy,delta_balanced_accuracy_vs_frozen_median,frozen_median_macro_f1,personalized_macro_f1,delta_macro_f1_vs_frozen_median
xgboost,1,30c140ca,attention,target_attention,True,True,xgboost__fold_01__attention__30c140ca__weighted_aug__a82ee340ee94,a82ee340ee94b28a0337e46506b1ab1556e41e8aab43912f0d8628359a0a0c91,personalized_model_predict_proba_high,fixed_probability_threshold_0.5,0.5,0.9947248250246048,91,79,170,0ed5d7f4e8a953676baa957772b489cb853eb8b7b0ec115ea26058c02c844b9d,0.9353178467102518,0.9408819029072194,0.005564056196967648,0.9241115885757034,0.9346591630923979,0.010547574516694525,0.12635698139461965,0.1167562572714021,0.009600724123217552,0.4515735514229617,0.4248350659405692,0.026738485482392493,0.569620253164557,0.8396160801224093,0.2699958269578523,0.4862222222222222,0.8427941385687865,0.35657191634656427
lightgbm,1,30c140ca,attention,target_attention,True,True,lightgbm__fold_01__attention__30c140ca__weighted_aug__12258582d4ae,12258582d4aebb6c03da92473cab72df4ba1c15a6511250503da1c59757326a2,personalized_model_predict_proba_high,fixed_probability_threshold_0.5,0.5,0.9465218286420288,91,79,170,0ed5d7f4e8a953676baa957772b489cb853eb8b7b0ec115ea26058c02c844b9d,0.9426902211712338,0.948671581582974,0.005981360411740244,0.923659251390319,0.9331950550625501,0.009535803672231058,0.11223631196471635,0.09302610724470711,0.01921020472000924,0.347566837270108,0.2986010708009853,0.04896576646912271,0.5632911392405063,0.8556127416886911,0.2923216024481847,0.4749093513586105,0.8572228443449048,0.3823134929862943
xgboost,1,3110e0c7,attention,target_attention,False,False,,,frozen_zero_shot_probability,frozen_1800s_median_midpoint_policy,0.5,0.5,41,68,109,42ef7e503ebe0f60b7de8eeb585c48440f02b30392b16a9c9f45196726ea1fe7,0.8805595408895266,0.8805595408895266,0.0,0.9359204956638643,0.9359204956638643,0.0,0.4913947259128417,0.4913947259128417,0.0,2.656364969384936,2.656364969384936,0.0,0.5367647058823529,0.5367647058823529,0.0,0.3512517713745867,0.3512517713745867,0.0
lightgbm,1,3110e0c7,attention,target_attention,False,False,,,frozen_zero_shot_probability,frozen_1800s_median_midpoint_policy,0.5,0.5,41,68,109,42ef7e503ebe0f60b7de8eeb585c48440f02b30392b16a9c9f45196726ea1fe7,0.8228120516499282,0.8228120516499282,0.0,0.8808672870353205,0.8808672870353205,0.0,0.45046663882004395,0.45046663882004395,0.0,1.5678045131292018,1.5678045131292018,0.0,0.5661764705882353,0.5661764705882353,0.0,0.4076632587270885,0.4076632587270885,0.0
xgboost,1,7150e10a,attention,target_attention,True,True,xgboost__fold_01__attention__7150e10a__weighted_aug__96ee98827b9b,96ee98827b9b36c60275ab9c67897c403204159d22dbb17b378928789f972830,personalized_model_predict_proba_high,fixed_probability_threshold_0.5,0.5,0.3692134991288185,174,293,467,61ecb55c21d1173067e59adf8f90702ba8c49572611592a6257797d408311185,0.8701894786395198,0.9148130712800596,0.04462359264053983,0.9176384576243843,0.941341670162989,0.023703212538604634,0.14729543356312555,0.11396274396668901,0.03333268959643654,0.4472024938252567,0.3656853546671026,0.08151713915815406,0.7393001451492685,0.8300870895610215,0.09078694441175306,0.7442638599311713,0.8258011384280005,0.08153727849682924
lightgbm,1,7150e10a,attention,target_attention,True,True,lightgbm__fold_01__attention__7150e10a__weighted_aug__ac3d28c60793,ac3d28c60793e23f470a56bb2bce544316173ebaf55a90d5ae4a046f8469717b,personalized_model_predict_proba_high,fixed_probability_threshold_0.5,0.5,0.4670936405439791,174,293,467,61ecb55c21d1173067e59adf8f90702ba8c49572611592a6257797d408311185,0.8386685496842021,0.9141853987681928,0.0755168490839907,0.889097525826628,0.937721894831921,0.04862436900529299,0.15626630354309543,0.11652967053650637,0.039736633006589056,0.47448861750259175,0.3793435110825088,0.09514510642008295,0.7012278843513398,0.815905613746028,0.11467772939468823,0.7093355928302815,0.8262303438081403,0.11689475097785884
xgboost,1,71f0603f,attention,target_attention,True,True,xgboost__fold_01__attention__71f0603f__weighted_aug__6b65a511b8db,6b65a511b8db5f3ff60702a68623e5d9f1190517130a2030cbfe67d8bbd5a06d,personalized_model_predict_proba_high,fixed_probability_threshold_0.5,0.5,0.6634548604488373,228,305,533,595ed4334245853a6b5b381c05dd115a0859ce688496b5a07eacb19f52a08d68,0.8146246764452114,0.8121081392004602,-0.0025165372447512047,0.8427831316800338,0.8466080417952433,0.0038249101152094678,0.1983446841586001,0.21723326802665016,-0.018888583868050063,0.640588793482951,0.697313558027452,-0.05672476454450104,0.7122375611159045,0.7154515386827724,0.0032139775668679205,0.699726768260049,0.7081412396446046,0.008414471384555644
lightgbm,1,71f0603f,attention,target_attention,True,True,lightgbm__fold_01__attention__71f0603f__weighted_aug__b49534a6f298,b49534a6f2987e3a022e8e1b9a95fe0a2664e40059ba1a475325c79553c6647d,personalized_model_predict_proba_high,fixed_probability_threshold_0.5,0.5,0.6132045821970098,228,305,533,595ed4334245853a6b5b381c05dd115a0859ce688496b5a07eacb19f52a08d68,0.8021282714984181,0.8182053494391717,0.016077077940753526,0.8238096705561277,0.8407652872528927,0.01695561669676493,0.18203313190858103,0.1860217292140859,-0.003988597305504882,0.5429418199253045,0.5505150613964107,-0.007573241471106162,0.6979508196721311,0.7225409836065574,0.024590163934426257,0.6896931333425071,0.7168989547038327,0.027205821361325544
xgboost,1,81f1f0fe,attention,target_attention,True,True,xgboost__fold_01__attention__81f1f0fe__weighted_aug__eebb21b2145a,eebb21b2145a74ea58d2fbc5d565012d12371f3c8f425702a378307a8a9ca3cb,personalized_model_predict_proba_high,fixed_probability_threshold_0.5,0.5,0.033536356408149,147,138,285,2c156a20756451143c44d5935b34082b6e4d0b9918f64717ce6446d39ab32810,0.7853692201518289,0.8697623977127082,0.08439317756087938,0.7734103534685295,0.8534409951077364,0.08003064163920692,0.2497327969879093,0.15901273897281817,0.09072005801509112,0.8147215328487031,0.5073724712405155,0.30734906160818753,0.679902395740905,0.7840875480627034,0.10418515232179837,0.6633216894252143,0.7844362608339843,0.12111457140877002
lightgbm,1,81f1f0fe,attention,target_attention,True,True,lightgbm__fold_01__attention__81f1f0fe__weighted_aug__27a948927c4f,27a948927c4fbbc3d02ec84b8a8d507e42b8abadaa7e10983d816bb253b0b32b,personalized_model_predict_proba_high,fixed_probability_threshold_0.5,0.5,0.255299823709956,147,138,285,2c156a20756451143c44d5935b34082b6e4d0b9918f64717ce6446d39ab32810,0.860051266883565,0.8780439712116731,0.017992704328108067,0.8498447340846258,0.8714829607164496,0.021638226631823798,0.16565447448038034,0.14344115819875822,0.022213316281622125,0.4956843451300403,0.4355929206660302,0.06009142446401006,0.7685595977521443,0.7670807453416149,-0.0014788524105294742,0.7629393288557276,0.7673872180451128,0.004447889189385212
xgboost,1,a1721173,attention,target_attention,False,False,,,frozen_zero_shot_probability,frozen_1800s_median_midpoint_policy,0.5,0.5,18,62,80,211ebc1cd6df47b34e3b1d800c509f307ad1f775cf8de153a1d2901a282fae14,0.9283154121863799,0.9283154121863799,0.0,0.9778031029905306,0.9778031029905306,0.0,0.11266249342559478,0.11266249342559478,0.0,0.3526894978054183,0.3526894978054183,0.0,0.8440860215053764,0.8440860215053764,0.0,0.8062953995157385,0.8062953995157385,0.0
lightgbm,1,a1721173,attention,target_attention,False,False,,,frozen_zero_shot_probability,frozen_1800s_median_midpoint_policy,0.5,0.5,18,62,80,211ebc1cd6df47b34e3b1d800c509f307ad1f775cf8de153a1d2901a282fae14,0.9399641577060932,0.9399641577060932,0.0,0.983355936782718,0.983355936782718,0.0,0.12970038446617524,0.12970038446617524,0.0,0.4064761602347401,0.4064761602347401,0.0,0.8593189964157706,0.8593189964157706,0.0,0.7793712079426365,0.7793712079426365,0.0
xgboost,1,c060c06a,attention,target_attention,True,True,xgboost__fold_01__attention__c060c06a__weighted_aug__314ab1cdba31,314ab1cdba317b5d666acb0032db50b999d0f555e796c884333568cbe5e1b79e,personalized_model_predict_proba_high,fixed_probability_threshold_0.5,0.5,0.7317550256848335,83,86,169,eb8d727273c0c421a049f443f3f7ae8a293e842d39d56931283349fd0efb50e6,0.9230876996357523,0.9338750350238163,0.010787335388063979,0.9336175748877598,0.9495551209964118,0.015937546108652056,0.17600725551699425,0.15078170609899522,0.025225549417999038,0.5647092603748451,0.49410496066344034,0.0706042997114048,0.8207481087139255,0.7902073409918744,-0.030540767722051054,0.8202127659574469,0.7870540375130504,-0.03315872844439649
lightgbm,1,c060c06a,attention,target_attention,True,True,lightgbm__fold_01__attention__c060c06a__weighted_aug__e2b70d9f0fc9,e2b70d9f0fc98486e01f66fe7035a4275c260831dc33e1a66308a576b3a51804,personalized_model_predict_proba_high,fixed_probability_threshold_0.5,0.5,0.7730366289834667,83,86,169,eb8d727273c0c421a049f443f3f7ae8a293e842d39d56931283349fd0efb50e6,0.939058559820678,0.9624544690389465,0.023395909218268507,0.9463389433709222,0.9725986463956493,0.026259703024727132,0.19239375411395823,0.10970724241324563,0.0826865117007126,0.5546692768932382,0.3309498967670204,0.22371938012621778,0.8386102549733818,0.8321658727934995,-0.006444382179882302,0.8384035131210823,0.8311929223744292,-0.007210590746653089
xgboost,1,c112918e,attention,target_attention,True,True,xgboost__fold_01__attention__c112918e__weighted_aug__52f437923084,52f4379230842c3525e093cfdf69bf694c27416a0d7e820acec871bf7220ff0e,personalized_model_predict_proba_high,fixed_probability_threshold_0.5,0.5,0.9940013140439988,316,177,493,8126a2bf5f4ff63741b2a79a15ad4f0db1b4ca1309d675f388195160fa918c5e,0.8450082242723308,0.9005399413573625,0.055531717085031684,0.7473791183083343,0.8488308782920547,0.10145175998372047,0.4262373662990219,0.26714239082380364,0.15909497547521828,1.8108940684087471,0.9365956731475115,0.8742983952612357,0.7544428949438604,0.7260423371236502,-0.028400557820210226,0.7538077403245942,0.6544202539996702,-0.099387486324924
lightgbm,1,c112918e,attention,target_attention,True,True,lightgbm__fold_01__attention__c112918e__weighted_aug__68bf77ceeb41,68bf77ceeb41253a2f66a4e23c873b0703a01c24e0eecb04cd022dcf6080c590,personalized_model_predict_proba_high,fixed_probability_threshold_0.5,0.5,0.9590321253397502,316,177,493,8126a2bf5f4ff63741b2a79a15ad4f0db1b4ca1309d675f388195160fa918c5e,0.8753307587785166,0.8876492884216549,0.012318529643138287,0.7952415976062019,0.8285786460059777,0.033337048399775804,0.3890978412069524,0.24150279910433256,0.14759504210261984,1.203574514315157,0.7218765543181473,0.4816979599970097,0.7907190874633484,0.7128209254094258,-0.07789816205392264,0.7932242832595959,0.6422233217878938,-0.15100096147170217
xgboost,1,d111e017,attention,target_attention,True,True,xgboost__fold_01__attention__d111e017__weighted_aug__ce4e8cf3da68,ce4e8cf3da688f1994b1d48310c5135298240a0538e8bdef3394c8de367b2157,personalized_model_predict_proba_high,fixed_probability_threshold_0.5,0.5,0.5052454373799264,399,405,804,235dd48d193a12eb10b16b0ad8ec61effb88a9ad5139f185ef89718f569194f2,0.9187227327578205,0.9174046226677806,-0.0013181100900399034,0.9238436174791949,0.9188386808333906,-0.005004936645804259,0.12250808513063634,0.12468662900653237,-0.0021785438758960274,0.3924880022531585,0.400374314649236,-0.00788631239607751,0.8270583867075095,0.8205513784461154,-0.006507008261394165,0.8270820600499772,0.8204054280448987,-0.006676632005078509
