experiment_id,status,resolved_config,dataset_or_cache_hash,split_hash,seed,folds,metrics,predictions_if_expected,report,commit_or_revision,leakage_audit,complete,missing,evidence_role
cog_bci_inventory_and_window_caches,infrastructure_only,true,true,true,true,true,true,true,true,true,true,true,,supporting_only
cog_bci_nback_cnn_baseline,closed_negative,true,true,true,true,true,true,true,true,true,true,true,,negative_result
cog_bci_preprocessing_ablation,closed_negative,true,true,true,true,true,true,true,true,true,true,true,,negative_result
cog_bci_shape_only_contrastive_transfer,closed_negative,true,true,true,true,true,true,true,true,true,true,true,,negative_result
cog_bci_spectral_14_vs_62,closed_negative,true,true,true,true,true,true,true,true,true,true,true,,negative_result
cog_bci_time_aligned_contrastive_transfer,closed_negative,true,true,true,true,true,true,true,true,true,true,true,,negative_result
contrastive_pretraining_infrastructure,infrastructure_only,true,true,true,true,true,true,true,true,true,true,true,,supporting_only
cross_source_generalization_diagnostic,diagnostic,true,true,true,true,true,true,true,true,true,true,true,,supporting_only
dann_infrastructure,infrastructure_only,true,true,true,true,true,true,true,true,true,true,true,,supporting_only
dann_label_q5_confirmatory_v1_protocol,infrastructure_only,true,true,true,true,true,true,true,true,true,true,true,,supporting_only
dann_label_q5_confirmatory_v2_protocol,infrastructure_only,true,true,true,true,true,true,true,true,true,true,true,,supporting_only
dann_label_q5_old_eeg_to_gpn_confirmatory_v2_execution,completed,true,true,false,true,true,true,true,true,true,true,false,split_hash,supporting_only
dann_label_q5_old_eeg_to_gpn_diagnostic_v1,diagnostic,true,true,false,true,true,true,true,true,true,true,false,split_hash,supporting_only
dann_label_q5_raw_protocol_v1,infrastructure_only,true,true,true,true,true,true,true,true,true,true,true,,supporting_only
fomaml_label_q5_feature_protocol_blocked_v1,superseded,true,true,true,true,true,true,true,true,true,true,true,,supporting_only
fomaml_label_q5_raw_deduplicated_diagnostic_v1,closed_negative,true,true,true,true,true,true,true,true,true,true,true,,negative_result
fomaml_label_q5_raw_protocol_v2,infrastructure_only,true,true,true,true,true,true,true,true,true,true,true,,supporting_only
fomaml_production_buffer_contract_v1,infrastructure_only,true,true,true,true,true,true,true,true,true,true,true,,supporting_only
fomaml_synthetic_contract_v1,infrastructure_only,true,true,true,true,true,true,true,true,true,true,true,,supporting_only
label_q5_auxiliary_corn_policy,closed_negative,true,true,false,true,true,true,true,true,true,true,false,split_hash,supporting_only
label_q5_eegnet_raw_dedup_multiseed,completed,true,true,true,true,true,true,true,true,true,true,true,,primary
label_q5_feature_group_rf_ablation,completed,true,true,true,true,true,true,true,true,true,true,true,,primary
label_q5_feature_group_transformer_ablation,completed,true,true,true,true,true,true,true,true,true,true,true,,primary
label_q5_gapaware_bilstm_groupkfold,completed,true,true,true,true,true,true,true,true,true,true,true,,primary
label_q5_gapaware_lstm_groupkfold,completed,true,true,true,true,true,true,true,true,true,true,true,,primary
label_q5_ordinal_transformer_multiseed,completed,true,true,true,true,true,true,true,true,true,true,true,,primary
label_q5_personalization_multiseed_20pct,completed,true,true,true,true,true,true,true,true,true,true,true,,primary
label_q5_random_forest_groupkfold,completed,true,true,false,true,true,true,true,true,true,true,false,split_hash,supporting_only
label_q5_shallowconvnet_raw_dedup_multiseed,completed,true,true,true,true,true,true,true,true,true,true,true,,primary
label_q5_torch_mlp_groupkfold,completed,true,true,false,true,true,true,true,true,true,true,false,split_hash,supporting_only
label_q5_transformer_multiseed,completed,true,true,true,true,true,true,true,true,true,true,true,,primary
label_target_provenance_audit,infrastructure_only,true,true,true,true,true,true,true,true,true,true,true,,supporting_only
meta_learning_episode_infrastructure_v1,infrastructure_only,true,true,true,true,true,true,true,true,true,true,true,,supporting_only
mixin_contrastive_learning_audit,infrastructure_only,true,true,true,true,true,true,true,true,true,true,true,,supporting_only
mixin_domain_adaptation_audit,infrastructure_only,true,true,true,true,true,true,true,true,true,true,true,,supporting_only
mixin_meta_learning_audit,infrastructure_only,true,true,true,true,true,true,true,true,true,true,true,,supporting_only
mixin_transfer_learning_audit,infrastructure_only,true,true,true,true,true,true,true,true,true,true,true,,supporting_only
pm_all_targets_feature_baseline_v1,completed,true,true,true,true,true,true,true,true,true,true,true,,primary
pm_eeg_lag_confirmatory_371_xgboost_v1,completed,true,true,true,true,true,true,true,true,true,true,true,,primary
pm_eeg_lag_regression_confirmatory_371_xgboost_v1,completed,true,true,true,true,true,true,true,true,true,true,true,,primary
pm_regression_mean_baseline_5fold,completed,true,true,true,true,true,true,true,true,true,true,true,,primary
pm_regression_personalization_multiseed_20pct,completed,true,true,true,true,true,true,true,true,true,true,true,,primary
pm_regression_random_forest_5fold,completed,true,true,true,true,true,true,true,true,true,true,true,,primary
pm_robust_scaling_unwired_groupkfold,superseded,false,true,true,true,true,true,true,true,true,true,false,resolved_config,supporting_only
pm_standard_clip_audit,diagnostic,true,true,true,true,true,true,true,true,true,true,true,,supporting_only
shallowconvnet_preprocessing_ablation,diagnostic,true,true,true,true,true,true,true,true,true,true,true,,supporting_only
shared_encoder_interface,infrastructure_only,true,true,true,true,true,true,true,true,true,true,true,,supporting_only
