target_id,display_name,target_type,processed_columns,output_names,output_dim,missing_value_policy,cohort_policy,transform_policy,fit_scope,recommended_metrics,allowed_feature_inputs,raw_input_supported,execution_status,registry_status
pm_attention_active_proxy,PM Attention active proxy,binary_proxy,"[""PM.Attention.IsActive__mean""]","[""attention_active""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,identity_binary_proxy_pending_semantic_validation,none,"[""balanced_accuracy"", ""macro_f1"", ""average_precision""]","[""eeg"", ""pow"", ""eeg_pow""]",False,disabled,requires_semantic_validation
pm_attention_q3_fold_local,PM Attention fold-local Q3,derived_ordinal_classification,"[""target_attention""]","[""attention_q3""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,fold_local_quantile_q3,outer_train_only,"[""accuracy"", ""balanced_accuracy"", ""macro_f1"", ""weighted_f1"", ""kappa"", ""ordinal_mae"", ""adjacent_accuracy""]","[""eeg"", ""pow"", ""eeg_pow""]",True,disabled,registered_candidate
pm_attention_q5_fold_local,PM Attention fold-local Q5,derived_ordinal_classification,"[""target_attention""]","[""attention_q5""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,fold_local_quantile_q5,outer_train_only,"[""accuracy"", ""balanced_accuracy"", ""macro_f1"", ""weighted_f1"", ""kappa"", ""ordinal_mae"", ""adjacent_accuracy""]","[""eeg"", ""pow"", ""eeg_pow""]",True,disabled,registered_candidate
pm_engagement_active_proxy,PM Engagement active proxy,binary_proxy,"[""PM.Engagement.IsActive__mean""]","[""engagement_active""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,identity_binary_proxy_pending_semantic_validation,none,"[""balanced_accuracy"", ""macro_f1"", ""average_precision""]","[""eeg"", ""pow"", ""eeg_pow""]",False,disabled,requires_semantic_validation
pm_engagement_q3_fold_local,PM Engagement fold-local Q3,derived_ordinal_classification,"[""target_engagement""]","[""engagement_q3""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,fold_local_quantile_q3,outer_train_only,"[""accuracy"", ""balanced_accuracy"", ""macro_f1"", ""weighted_f1"", ""kappa"", ""ordinal_mae"", ""adjacent_accuracy""]","[""eeg"", ""pow"", ""eeg_pow""]",True,disabled,registered_candidate
pm_engagement_q5_fold_local,PM Engagement fold-local Q5,derived_ordinal_classification,"[""target_engagement""]","[""engagement_q5""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,fold_local_quantile_q5,outer_train_only,"[""accuracy"", ""balanced_accuracy"", ""macro_f1"", ""weighted_f1"", ""kappa"", ""ordinal_mae"", ""adjacent_accuracy""]","[""eeg"", ""pow"", ""eeg_pow""]",True,disabled,registered_candidate
pm_excitement_active_proxy,PM Excitement active proxy,binary_proxy,"[""PM.Excitement.IsActive__mean""]","[""excitement_active""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,identity_binary_proxy_pending_semantic_validation,none,"[""balanced_accuracy"", ""macro_f1"", ""average_precision""]","[""eeg"", ""pow"", ""eeg_pow""]",False,disabled,requires_semantic_validation
pm_excitement_q3_fold_local,PM Excitement fold-local Q3,derived_ordinal_classification,"[""target_excitement""]","[""excitement_q3""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,fold_local_quantile_q3,outer_train_only,"[""accuracy"", ""balanced_accuracy"", ""macro_f1"", ""weighted_f1"", ""kappa"", ""ordinal_mae"", ""adjacent_accuracy""]","[""eeg"", ""pow"", ""eeg_pow""]",True,disabled,registered_candidate
pm_excitement_q5_fold_local,PM Excitement fold-local Q5,derived_ordinal_classification,"[""target_excitement""]","[""excitement_q5""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,fold_local_quantile_q5,outer_train_only,"[""accuracy"", ""balanced_accuracy"", ""macro_f1"", ""weighted_f1"", ""kappa"", ""ordinal_mae"", ""adjacent_accuracy""]","[""eeg"", ""pow"", ""eeg_pow""]",True,disabled,registered_candidate
pm_stress_active_proxy,PM Stress active proxy,binary_proxy,"[""PM.Stress.IsActive__mean""]","[""stress_active""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,identity_binary_proxy_pending_semantic_validation,none,"[""balanced_accuracy"", ""macro_f1"", ""average_precision""]","[""eeg"", ""pow"", ""eeg_pow""]",False,disabled,requires_semantic_validation
pm_stress_q3_fold_local,PM Stress fold-local Q3,derived_ordinal_classification,"[""target_stress""]","[""stress_q3""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,fold_local_quantile_q3,outer_train_only,"[""accuracy"", ""balanced_accuracy"", ""macro_f1"", ""weighted_f1"", ""kappa"", ""ordinal_mae"", ""adjacent_accuracy""]","[""eeg"", ""pow"", ""eeg_pow""]",True,disabled,registered_candidate
pm_stress_q5_fold_local,PM Stress fold-local Q5,derived_ordinal_classification,"[""target_stress""]","[""stress_q5""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,fold_local_quantile_q5,outer_train_only,"[""accuracy"", ""balanced_accuracy"", ""macro_f1"", ""weighted_f1"", ""kappa"", ""ordinal_mae"", ""adjacent_accuracy""]","[""eeg"", ""pow"", ""eeg_pow""]",True,disabled,registered_candidate
pm_relaxation_active_proxy,PM Relaxation active proxy,binary_proxy,"[""PM.Relaxation.IsActive__mean""]","[""relaxation_active""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,identity_binary_proxy_pending_semantic_validation,none,"[""balanced_accuracy"", ""macro_f1"", ""average_precision""]","[""eeg"", ""pow"", ""eeg_pow""]",False,disabled,requires_semantic_validation
pm_relaxation_q3_fold_local,PM Relaxation fold-local Q3,derived_ordinal_classification,"[""target_relaxation""]","[""relaxation_q3""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,fold_local_quantile_q3,outer_train_only,"[""accuracy"", ""balanced_accuracy"", ""macro_f1"", ""weighted_f1"", ""kappa"", ""ordinal_mae"", ""adjacent_accuracy""]","[""eeg"", ""pow"", ""eeg_pow""]",True,disabled,registered_candidate
pm_relaxation_q5_fold_local,PM Relaxation fold-local Q5,derived_ordinal_classification,"[""target_relaxation""]","[""relaxation_q5""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,fold_local_quantile_q5,outer_train_only,"[""accuracy"", ""balanced_accuracy"", ""macro_f1"", ""weighted_f1"", ""kappa"", ""ordinal_mae"", ""adjacent_accuracy""]","[""eeg"", ""pow"", ""eeg_pow""]",True,disabled,registered_candidate
pm_interest_active_proxy,PM Interest active proxy,binary_proxy,"[""PM.Interest.IsActive__mean""]","[""interest_active""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,identity_binary_proxy_pending_semantic_validation,none,"[""balanced_accuracy"", ""macro_f1"", ""average_precision""]","[""eeg"", ""pow"", ""eeg_pow""]",False,disabled,requires_semantic_validation
pm_interest_q3_fold_local,PM Interest fold-local Q3,derived_ordinal_classification,"[""target_interest""]","[""interest_q3""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,fold_local_quantile_q3,outer_train_only,"[""accuracy"", ""balanced_accuracy"", ""macro_f1"", ""weighted_f1"", ""kappa"", ""ordinal_mae"", ""adjacent_accuracy""]","[""eeg"", ""pow"", ""eeg_pow""]",True,disabled,registered_candidate
pm_interest_q5_fold_local,PM Interest fold-local Q5,derived_ordinal_classification,"[""target_interest""]","[""interest_q5""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,fold_local_quantile_q5,outer_train_only,"[""accuracy"", ""balanced_accuracy"", ""macro_f1"", ""weighted_f1"", ""kappa"", ""ordinal_mae"", ""adjacent_accuracy""]","[""eeg"", ""pow"", ""eeg_pow""]",True,disabled,registered_candidate
pm_focus_active_proxy,PM Focus active proxy,binary_proxy,"[""PM.Focus.IsActive__mean""]","[""focus_active""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,identity_binary_proxy_pending_semantic_validation,none,"[""balanced_accuracy"", ""macro_f1"", ""average_precision""]","[""eeg"", ""pow"", ""eeg_pow""]",False,disabled,requires_semantic_validation
pm_focus_q3_fold_local,PM Focus fold-local Q3,derived_ordinal_classification,"[""target_focus""]","[""focus_q3""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,fold_local_quantile_q3,outer_train_only,"[""accuracy"", ""balanced_accuracy"", ""macro_f1"", ""weighted_f1"", ""kappa"", ""ordinal_mae"", ""adjacent_accuracy""]","[""eeg"", ""pow"", ""eeg_pow""]",True,disabled,registered_candidate
pm_focus_q5_fold_local,PM Focus fold-local Q5,derived_ordinal_classification,"[""target_focus""]","[""focus_q5""]",1,drop_rows_with_missing_target,target_complete_cases_inside_fixed_outer_subject_folds,fold_local_quantile_q5,outer_train_only,"[""accuracy"", ""balanced_accuracy"", ""macro_f1"", ""weighted_f1"", ""kappa"", ""ordinal_mae"", ""adjacent_accuracy""]","[""eeg"", ""pow"", ""eeg_pow""]",True,disabled,registered_candidate
pm_activity_multilabel_7,Seven PM activity proxies,multilabel_proxy,"[""PM.Attention.IsActive__mean"", ""PM.Engagement.IsActive__mean"", ""PM.Excitement.IsActive__mean"", ""PM.Stress.IsActive__mean"", ""PM.Relaxation.IsActive__mean"", ""PM.Interest.IsActive__mean"", ""PM.Focus.IsActive__mean""]","[""attention_active"", ""engagement_active"", ""excitement_active"", ""stress_active"", ""relaxation_active"", ""interest_active"", ""focus_active""]",7,drop_rows_unless_all_outputs_present,complete_cases_inside_fixed_outer_subject_folds,identity_multilabel_pending_semantic_validation,none,"[""macro_f1"", ""average_precision""]","[""eeg"", ""pow"", ""eeg_pow""]",False,disabled,requires_semantic_validation
pm_long_term_excitement_regression,PM long-term excitement regression,continuous_regression,"[""target_long_term_excitement""]","[""long_term_excitement""]",1,unavailable_in_processed_dataset,no_executable_cohort,identity,none,"[""mae"", ""rmse"", ""r2"", ""spearman""]","[""eeg"", ""pow"", ""eeg_pow""]",False,disabled,requires_processed_target_materialization
