file,source_commit,purpose,current_branch_equivalent,decision,reason,required_changes,tests,status
bench/core/abstract_task.py,29b0b73,"Добавление task_type и параметров стратегии разбиения",bench/core/abstract_task.py,B,"Файл существует и используется расширенной актуальной инфраструктурой","Сравнить интерфейсы; перенести только недостающие поля без изменения действующих контрактов","Тесты классификации и регрессии; обратная совместимость задач",ready_for_local_diff
bench/datasets/wesad_loader.py,29b0b73,"Исправления загрузки WESAD",bench/datasets/wesad_loader.py,D,"WESADLoader уже существует в актуальной ветке","Построчно сравнить обработку файлов, формы массивов, субъектов и меток; перенести подтверждённые исправления","Техническая загрузка WESAD; формы данных; отсутствие смешения субъектов",ready_for_local_diff
bench/tasks/cognitive_load.py,29b0b73,"Изменение задачи когнитивной нагрузки",bench/tasks/cognitive_load.py,C,"Текущая ветка содержит пятиуровневую Focus-задачу и порядковые расширения","Не заменять; проверить только универсальные исправления разбиения","Существующие тесты Focus, CORAL, CORN и Transformer",do_not_cherry_pick
bench/tasks/wesad_task.py,29b0b73,"Исправления задачи WESAD",bench/tasks/wesad_task.py,D,"Файл уже существует в актуальной ветке","Сравнить тип задачи, метки и протокол разбиения; интегрировать только необходимые исправления","Технический запуск WESAD на одном фолде",ready_for_local_diff
bench/validation/metrics.py,29b0b73,"Расширение расчёта метрик",bench/validation/metrics.py,B,"Актуальная ветка уже содержит категориальные и порядковые метрики","Составить перечень недостающих метрик и объединить через один реестр","Численные модульные тесты для каждой метрики",ready_for_local_diff
model_zoo/DL/__init__.py,5b0dca6,"Экспорт DL-моделей",model_zoo/DL/__init__.py,C,"Текущая версия расширена последующими моделями","Не заменять; проверить только отсутствующие экспорты","Импорт всех зарегистрированных моделей",do_not_cherry_pick
model_zoo/DL/adapter.py,5b0dca6,"PyTorch-адаптер классификации",model_zoo/DL/adapter.py,C,"Текущий адаптер использован в завершённых экспериментах и расширен","Не заменять; любые изменения только отдельным рефакторингом","Все тесты адаптера, сохранения и восстановления моделей",do_not_cherry_pick
model_zoo/DL/eegnet.py,5b0dca6,"EEGNet",model_zoo/DL/eegnet.py,C,"Модель уже интегрирована и проверена на нескольких протоколах","Не переносить","Существующие тесты EEGNet и технический запуск",do_not_cherry_pick
model_zoo/DL/lstm.py,5b0dca6,"LSTM и двунаправленная LSTM",model_zoo/DL/lstm.py,C,"Текущая версия поддерживает последовательностные артефакты и полные опыты","Не переносить","Существующие тесты последовательностей и LSTM",do_not_cherry_pick
model_zoo/DL/mlp.py,5b0dca6,"MLP",model_zoo/DL/mlp.py,C,"Текущая версия уже используется бенчмарком","Не переносить","Технический запуск MLP",do_not_cherry_pick
model_zoo/DL/sequence_utils.py,5b0dca6,"Построение последовательностей",model_zoo/DL/sequence_utils.py,C,"Текущая версия обеспечивает границы источник–субъект–запись","Не заменять; сохранить текущую защиту от пересечений","Тесты порядка и границ последовательностей",do_not_cherry_pick
model_zoo/DL/shallow_convnet.py,5b0dca6,"ShallowConvNet",model_zoo/DL/shallow_convnet.py,C,"Текущая версия использована в абляционном анализе предварительной обработки","Не переносить","Существующие тесты и один технический запуск",do_not_cherry_pick
model_zoo/ML/__init__.py,5b0dca6,"Экспорт классических моделей",model_zoo/ML/__init__.py,C,"Файл существует и связан с текущей фабрикой","Не заменять","Импорт зарегистрированных классических моделей",do_not_cherry_pick
model_zoo/ML/sklearn_models.py,5b0dca6,"Модели scikit-learn",model_zoo/ML/sklearn_models.py,C,"Текущая версия использована в базовых экспериментах","Не переносить","Технический запуск Random Forest или LightGBM",do_not_cherry_pick
model_zoo/__init__.py,5b0dca6,"Экспорт model_zoo",model_zoo/__init__.py,C,"Текущая версия включает больше архитектур","Не заменять","Проверка импорта всех моделей",do_not_cherry_pick
model_zoo/base.py,5b0dca6,"Базовый интерфейс модели",model_zoo/base.py,B,"Интерфейсная идея полезна, но текущие контракты шире","Сравнить методы fit/predict/save/load и поддержку типов задач; не менять без плана миграции","Контрактные тесты адаптеров",ready_for_local_diff
model_zoo/factory.py,5b0dca6,"Единая фабрика моделей",model_zoo/factory.py,B,"Единая фабрика нужна, но текущая версия уже поддерживает больше моделей","Сравнить имена и параметры; сохранить текущую фабрику как основу","Создание каждого зарегистрированного типа модели",ready_for_local_diff
configs.yaml,65f36d0,"Новая схема задач и конфигурации моделей",configs.yaml,B,"Новая схема не согласована с CLI, реестром задач и исполнителем","Не переносить; спроектировать каноническую схему experiment/dataset/task/features/model/validation/training/runtime","Проверка схемы; загрузка smoke-конфигураций",needs_design
bench/tasks/mixin/contrastive_learning.py,8ecbee9,"Контрастивное предварительное обучение",нет,C,"Использует весь self.data.data до внешнего разбиения и создаёт риск утечки","Не подключать; при возврате переписать под outer-train и отдельный экспериментальный модуль","Тест отсутствия тестовых субъектов в предварительном обучении",experimental_only
bench/tasks/mixin/domain_adaptation.py,8ecbee9,"Доменная адаптация",нет,C,"Прототип не имеет полного рабочего пути и использует жёсткие предположения о размерностях и доменах","Не подключать; реализовать заново после фиксации протокола","Тесты размерностей, устройств и leakage-safe split",experimental_only
bench/tasks/mixin/metalearning.py,8ecbee9,"Метаобучение",нет,C,"Не интегрировано с моделями и внешним протоколом; опциональная зависимость","Оставить как идею для дальнейшей статьи","Отдельный вложенный протокол метаобучения",experimental_only
bench/tasks/mixin/transfer_learning.py,8ecbee9,"Перенос обучения",нет,C,"Ошибочный относительный импорт и неполный жизненный цикл набора данных","Не подключать; проектировать после интеграции WESAD и внешних наборов","Тест загрузки источника и строгого переноса",experimental_only
bench/bench_runner.py,6a1fbd7,"Переход на фабрику и точки pretrain/prepare",bench/bench_runner.py,B,"Полезная идея, но импорт фабрики неверен, модель повторно используется между разбиениями и pretrain вызывается до split","Сохранить актуальный runner; добавить fold-local build_model и безопасные hooks после внешнего split","Новая модель на фолд; отсутствие пересечений; smoke-run классической и torch-модели",needs_reimplementation
